ABBV,BMY,GSK,JNJ,MRK,NVS,PFE
42.02593231201172,54.588069915771484,27.591276168823242,82.85253143310547,40.00481033325195,56.90324783325195,23.214975357055664
41.85085678100586,55.66304016113281,27.748165130615234,83.19884490966797,40.51555252075195,57.208499908447266,23.382095336914062
41.85814666748047,54.6857795715332,27.44803810119629,82.77831268310547,39.959075927734375,56.42544937133789,22.96792984008789
41.734134674072266,53.17103576660156,26.609039306640625,81.81355285644531,39.608428955078125,55.7021369934082,22.81534194946289
40.596126556396484,51.81916046142578,26.888710021972656,80.93950653076172,38.9376220703125,54.12277603149414,22.52469825744629
39.304927825927734,51.2898063659668,26.800039291381836,80.45301818847656,39.06720733642578,54.17586135864258,22.5755615234375
40.00524139404297,51.66442108154297,26.9091739654541,81.00548553466797,39.45597457885742,54.57402420043945,22.52469825744629
37.72743606567383,49.90535354614258,26.71135902404785,79.9995346069336,38.61745071411133,53.8109016418457,22.066940307617188
40.21901321411133,51.7214241027832,27.475326538085938,81.54145050048828,39.4864616394043,54.879276275634766,22.604631423950195
42.26830291748047,51.126930236816406,26.534006118774414,79.98301696777344,38.98335266113281,53.24019241333008,22.386648178100586
40.535987854003906,51.477108001708984,26.793210983276367,80.39530181884766,39.13581085205078,53.744529724121094,22.299455642700195
42.12823486328125,51.7540168762207,26.568117141723633,78.95232391357422,38.533599853515625,53.41273880004883,22.27765655517578
43.020206451416016,51.411964416503906,26.6295108795166,79.10897064208984,38.81563949584961,52.994667053222656,22.219532012939453
43.36665725708008,52.44622802734375,27.30480194091797,79.77689361572266,39.143428802490234,54.57402420043945,22.313983917236328
43.23395919799805,51.24094009399414,27.066057205200195,79.48828125,38.81563949584961,54.162593841552734,22.16140365600586
42.946468353271484,51.05364227294922,27.850486755371094,83.42973327636719,39.21965789794922,54.8394660949707,22.28492546081543
42.098751068115234,50.25554656982422,27.6935977935791,84.23778533935547,38.396385192871094,51.88645553588867,22.175931930541992
41.16993713378906,49.80763626098633,27.72088050842285,84.32849884033203,37.5045166015625,50.79153823852539,21.943424224853516
40.46963882446289,50.62201690673828,28.16425132751465,86.11781311035156,38.62507629394531,51.740482330322266,22.154132843017578
40.093692779541016,49.53075408935547,28.22564125061035,86.06008911132812,38.68606185913086,51.27595901489258,21.921621322631836
39.769344329833984,47.94270706176758,27.898225784301758,85.26849365234375,38.426883697509766,50.32038497924805,21.899822235107422
41.89972686767578,48.960670471191406,28.682649612426758,85.87042999267578,38.1524543762207,50.77162551879883,21.775062561035156
41.84074401855469,48.61863708496094,27.952791213989258,85.67254638671875,37.039520263671875,49.80941390991211,21.283342361450195
39.15751647949219,48.5616455078125,27.802730560302734,82.90198516845703,37.6417350769043,49.32499313354492,21.305360794067383
38.987972259521484,49.449310302734375,26.92281723022461,84.10586547851562,37.22246551513672,48.561859130859375,20.96042251586914
39.422889709472656,49.69361877441406,26.834142684936523,84.08113861083984,37.47401809692383,48.190242767333984,21.356731414794922
38.86265182495117,49.742488861083984,26.690900802612305,83.88324737548828,37.75606918334961,48.43577575683594,21.642959594726562
38.46458435058594,48.47203826904297,26.704540252685547,83.8584976196289,37.23770523071289,47.91153335571289,21.378747940063477
38.759456634521484,49.02582931518555,27.120630264282227,83.95743560791016,37.37491989135742,48.24333190917969,21.54754638671875
39.44499969482422,50.638309478759766,27.598100662231445,84.36972045898438,37.94664001464844,48.634849548339844,21.877803802490234
40.550724029541016,52.05533981323242,27.733245849609375,84.51813507080078,38.57171630859375,48.87374496459961,21.745702743530273
40.211639404296875,51.56669998168945,27.712139129638672,85.95289611816406,38.3582763671875,48.91355895996094,21.686992645263672
40.019989013671875,51.957603454589844,27.98665428161621,86.50935363769531,38.20581817626953,48.91355895996094,21.642959594726562
40.749755859375,51.876163482666016,27.70509147644043,86.99938201904297,38.70130920410156,49.25863265991211,22.05394744873047
40.59496307373047,50.54872512817383,27.19828224182129,86.44290161132812,38.525978088378906,48.87374496459961,21.987892150878906
40.46227264404297,50.679019927978516,27.127897262573242,87.17379760742188,38.541221618652344,49.44047164916992,22.03192710876465
41.42795181274414,51.330528259277344,27.80363655090332,88.35313415527344,38.87663650512695,50.0402946472168,22.450254440307617
41.280513763427734,50.69530487060547,27.55023956298828,87.85485076904297,38.60219955444336,49.661094665527344,22.186050415039062
40.25587463378906,50.4347038269043,27.219409942626953,87.38142395019531,38.274436950683594,49.02680587768555,21.775062561035156
41.53113555908203,52.299644470214844,27.916263580322266,89.05082702636719,39.448341369628906,50.21955108642578,22.046606063842773
41.059364318847656,52.853416442871094,27.733245849609375,88.90133666992188,39.844730377197266,50.62632751464844,22.00257682800293
41.228912353515625,52.93485641479492,27.57839584350586,88.57743835449219,39.71514129638672,50.2953987121582,21.936513900756836
41.391082763671875,52.69868469238281,27.55023956298828,88.45281982421875,39.699893951416016,49.77830505371094,21.80441665649414
41.575374603271484,54.14830780029297,27.67693519592285,88.65215301513672,40.12678146362305,49.971351623535156,21.86312484741211
40.77925109863281,53.96097946166992,27.951459884643555,88.22026062011719,39.9819450378418,49.785194396972656,21.54754638671875
41.5679931640625,53.374629974365234,28.14150619506836,88.73521423339844,39.9133415222168,49.92998123168945,21.826435089111328
41.450050354003906,52.88600158691406,27.94442367553711,88.98436737060547,40.431705474853516,50.5849609375,21.716350555419922
42.555782318115234,52.90228271484375,28.401945114135742,89.4577865600586,40.908451080322266,51.322669982910156,22.384204864501953
42.17247009277344,52.21820831298828,28.45121192932129,89.416259765625,40.81617736816406,50.84006118774414,22.09064292907715
