index,y,ds,pfe_returns,sector
1,13.221449851989746,2000-01-04,-0.03725456795049664,Pharmaceuticals
2,13.436877250671387,2000-01-05,0.016293780265650648,Pharmaceuticals
3,13.921564102172852,2000-01-06,0.03607139087895206,Pharmaceuticals
4,14.864029884338379,2000-01-07,0.0676982683302394,Pharmaceuticals
5,14.837105751037598,2000-01-10,-0.001811361623347496,Pharmaceuticals
6,14.648614883422852,2000-01-11,-0.012704018612360701,Pharmaceuticals
7,15.13330364227295,2000-01-12,0.03308768526631112,Pharmaceuticals
8,15.941132545471191,2000-01-13,0.05338086925988028,Pharmaceuticals
9,15.941132545471191,2000-01-14,0.0,Pharmaceuticals
10,15.72571849822998,2000-01-18,-0.013513095548685405,Pharmaceuticals
11,15.941132545471191,2000-01-19,0.013698200642816794,Pharmaceuticals
12,15.678581237792969,2000-01-20,-0.016470053613148905,Pharmaceuticals
13,15.106379508972168,2000-01-21,-0.036495759414858164,Pharmaceuticals
14,14.810174942016602,2000-01-24,-0.019607912457094145,Pharmaceuticals
15,15.025593757629395,2000-01-25,0.01454532552492993,Pharmaceuticals
16,15.025593757629395,2000-01-26,0.0,Pharmaceuticals
17,14.864029884338379,2000-01-27,-0.010752578293884762,Pharmaceuticals
18,15.160239219665527,2000-01-28,0.019927929211125406,Pharmaceuticals
19,15.591070175170898,2000-01-31,0.028418480029425153,Pharmaceuticals
20,15.941132545471191,2000-02-01,0.02245274803892383,Pharmaceuticals
21,15.510294914245605,2000-02-02,-0.027026789344900437,Pharmaceuticals
22,15.348725318908691,2000-02-03,-0.010416926062993048,Pharmaceuticals
23,15.402588844299316,2000-02-04,0.0035093158729126994,Pharmaceuticals
24,15.941132545471191,2000-02-07,0.03496449243798372,Pharmaceuticals
25,16.291194915771484,2000-02-08,0.02195969259409636,Pharmaceuticals
26,15.564143180847168,2000-02-09,-0.04462850875477886,Pharmaceuticals
27,15.079455375671387,2000-02-10,-0.031141309839158082,Pharmaceuticals
28,15.079455375671387,2000-02-11,0.0,Pharmaceuticals
29,15.079455375671387,2000-02-14,0.0,Pharmaceuticals
30,15.321793556213379,2000-02-15,0.016070751529459804,Pharmaceuticals
31,14.57779312133789,2000-02-16,-0.04855831219405626,Pharmaceuticals
32,14.685779571533203,2000-02-17,0.0074075993050861655,Pharmaceuticals
33,14.685779571533203,2000-02-18,0.0,Pharmaceuticals
34,14.469806671142578,2000-02-22,-0.014706260524927517,Pharmaceuticals
35,14.685779571533203,2000-02-23,0.01492576267942436,Pharmaceuticals
36,14.28083324432373,2000-02-24,-0.027574043668367243,Pharmaceuticals
37,13.983880043029785,2000-02-25,-0.020793828778301604,Pharmaceuticals
38,13.902896881103516,2000-02-28,-0.005791179678106273,Pharmaceuticals
39,13.875896453857422,2000-02-29,-0.0019420720355620702,Pharmaceuticals
40,13.76791763305664,2000-03-01,-0.007781754581395961,Pharmaceuticals
41,13.821903228759766,2000-03-02,0.003921115534095465,Pharmaceuticals
42,14.09186840057373,2000-03-03,0.019531693092181168,Pharmaceuticals
43,13.686928749084473,2000-03-06,-0.028735696358956342,Pharmaceuticals
44,12.958041191101074,2000-03-07,-0.053254281610266574,Pharmaceuticals
45,14.01087474822998,2000-03-08,0.08124943744212976,Pharmaceuticals
46,14.84775161743164,2000-03-09,0.05973052248628408,Pharmaceuticals
47,15.117714881896973,2000-03-10,0.01818209729130893,Pharmaceuticals
48,14.820757865905762,2000-03-13,-0.019642982971375456,Pharmaceuticals
49,14.361822128295898,2000-03-14,-0.03096574019778142,Pharmaceuticals
50,15.225691795349121,2000-03-15,0.06015042237232637,Pharmaceuticals
51,15.76561450958252,2000-03-16,0.035461292760327945,Pharmaceuticals
52,15.468663215637207,2000-03-17,-0.018835377064739367,Pharmaceuticals
53,15.117714881896973,2000-03-20,-0.022687696334707352,Pharmaceuticals
54,15.84660816192627,2000-03-21,0.04821451427835344,Pharmaceuticals
55,15.387667655944824,2000-03-22,-0.02896143460429057,Pharmaceuticals
56,15.225691795349121,2000-03-23,-0.010526342537241273,Pharmaceuticals
57,15.063714981079102,2000-03-24,-0.010638387828098339,Pharmaceuticals
58,15.009724617004395,2000-03-27,-0.003584133405506007,Pharmaceuticals
59,15.14470386505127,2000-03-28,0.008992786442861167,Pharmaceuticals
60,15.71161937713623,2000-03-29,0.03743325172525869,Pharmaceuticals
61,15.76561450958252,2000-03-30,0.003436636997766307,Pharmaceuticals
62,15.792608261108398,2000-03-31,0.0017121915234874496,Pharmaceuticals
63,16.413516998291016,2000-04-03,0.03931641480094816,Pharmaceuticals
64,17.169401168823242,2000-04-04,0.04605254136641945,Pharmaceuticals
65,16.6834774017334,2000-04-05,-0.028301730637653177,Pharmaceuticals
66,16.57549285888672,2000-04-06,-0.006472544077379183,Pharmaceuticals
67,16.76446533203125,2000-04-07,0.011400715185564847,Pharmaceuticals
68,17.196395874023438,2000-04-10,0.025764647630420523,Pharmaceuticals
69,17.196395874023438,2000-04-11,0.0,Pharmaceuticals
70,17.439361572265625,2000-04-12,0.014128873283802967,Pharmaceuticals
71,17.115407943725586,2000-04-13,-0.018576002750882448,Pharmaceuticals
72,16.38652229309082,2000-04-14,-0.04258651929485391,Pharmaceuticals
73,16.413516998291016,2000-04-17,0.0016473724392134237,Pharmaceuticals
74,17.088417053222656,2000-04-18,0.04111855216660221,Pharmaceuticals
75,17.84429359436035,2000-04-19,0.04423326858090393,Pharmaceuticals
76,17.925283432006836,2000-04-20,0.004538696767020234,Pharmaceuticals
77,18.789154052734375,2000-04-24,0.04819285697792863,Pharmaceuticals
