ABBV,BMY,GSK,JNJ,MRK,NVS,PFE
77.1987533569336,57.71544647216797,40.032066345214844,134.10025024414062,79.03125,81.02889251708984,32.95144271850586
76.46598052978516,57.205177307128906,39.65666198730469,132.54769897460938,78.35289764404297,80.89234924316406,32.77465057373047
77.06945037841797,57.38742446899414,39.67372131347656,132.38230895996094,78.68777465820312,81.43851470947266,32.73255157470703
76.62979125976562,58.25305938720703,39.426300048828125,133.1907501220703,76.59264373779297,80.62779998779297,32.623111724853516
77.17288970947266,58.18927764892578,39.59693908691406,133.17239379882812,76.07745361328125,80.62779998779297,32.884090423583984
77.76771545410156,59.63808059692383,39.80170822143555,133.5674285888672,76.74720764160156,80.87527465820312,32.740970611572266
76.77632904052734,59.43762969970703,39.9211540222168,133.26425170898438,76.87601470947266,80.09870147705078,33.24610900878906
76.3108139038086,60.27592849731445,40.05766296386719,133.85220336914062,76.85884094238281,79.97069549560547,33.17875671386719
77.06221771240234,60.54018020629883,40.13444900512695,134.6055450439453,77.2194595336914,80.54244995117188,33.73440170288086
77.98836517333984,60.66774368286133,40.62077331542969,135.05567932128906,78.60189819335938,80.7302017211914,34.23952865600586
77.98836517333984,60.849979400634766,40.23683547973633,136.14891052246094,78.29280090332031,81.15689086914062,34.18901824951172
76.88746643066406,60.79531478881836,40.85967254638672,137.04002380371094,78.11247253417969,81.86520385742188,34.104827880859375
76.87874603271484,61.442264556884766,40.526920318603516,137.1319122314453,77.25383758544922,81.23370361328125,33.961708068847656
76.19723510742188,61.442264556884766,40.77435302734375,136.1948699951172,76.97904205322266,81.25076293945312,33.835426330566406
74.50221252441406,60.93198776245117,40.79994583129883,136.4521026611328,76.0430908203125,81.00328063964844,34.27320098876953
72.99067687988281,58.462642669677734,40.29655456542969,136.25918579101562,73.82774353027344,80.10723114013672,33.523929595947266
73.41007232666016,58.043479919433594,39.65666198730469,136.65419006347656,73.93077850341797,79.96215057373047,33.81016540527344
73.19163513183594,59.05491256713867,39.929683685302734,137.3432159423828,74.05960083007812,81.53238677978516,32.109561920166016
72.69361877441406,58.44441223144531,40.262428283691406,138.29861450195312,74.90966796875,81.70305633544922,31.63810157775879
71.45292663574219,58.14371871948242,40.08325958251953,138.13328552246094,74.27426147460938,81.85667419433594,31.52753257751465
70.78889465332031,57.360084533691406,39.929683685302734,136.76443481445312,73.36408996582031,80.65339660644531,31.672115325927734
71.90726470947266,57.934139251708984,39.86996841430664,137.95872497558594,74.99553680419922,80.43152618408203,31.901748657226562
73.70712280273438,58.58110046386719,40.20270919799805,139.27244567871094,75.87136840820312,81.15689086914062,32.05484390258789
75.69046783447266,59.76565170288086,38.45365524291992,141.46810913085938,73.69895935058594,82.2406997680664,32.463069915771484
76.1710205078125,61.141563415527344,37.660179138183594,141.0454864501953,73.57015991210938,82.74418640136719,32.53961181640625
80.6357421875,60.36705017089844,37.498069763183594,139.53887939453125,73.05496215820312,81.77987670898438,32.36101150512695
82.78510284423828,60.96843719482422,38.061180114746094,139.5113067626953,73.55298614501953,83.13674926757812,32.156890869140625
83.87725067138672,61.04133605957031,37.89907455444336,139.63075256347656,73.20093536376953,83.82798767089844,32.39503479003906
85.44119262695312,61.05044937133789,37.73696517944336,138.80389404296875,71.48359680175781,84.49363708496094,32.09737014770508
83.30931854248047,60.21214294433594,37.353031158447266,137.88522338867188,70.384521484375,83.4354248046875,31.408470153808594
82.17350006103516,60.48550033569336,37.31889724731445,137.92198181152344,70.96841430664062,83.31595611572266,31.05126190185547
81.78905487060547,60.20302963256836,37.15678787231445,137.01248168945312,70.8052749633789,82.94900512695312,30.889665603637695
82.25212860107422,59.875003814697266,37.1055908203125,136.82875061035156,70.41028594970703,82.96607208251953,30.813129425048828
82.33074951171875,59.38294982910156,36.99226760864258,136.30506896972656,70.83101654052734,82.17242431640625,30.489948272705078
82.96856689453125,59.80210494995117,37.26910400390625,137.73822021484375,70.70222473144531,82.57351684570312,30.379375457763672
81.37840270996094,58.28950881958008,36.26557922363281,134.89988708496094,69.8349838256836,76.8729019165039,29.486366271972656
77.91846466064453,56.62200164794922,35.884918212890625,133.73495483398438,68.92478942871094,75.05519104003906,28.857009887695312
77.24571228027344,56.53089904785156,36.24827575683594,132.83819580078125,68.64142608642578,74.33834838867188,29.528894424438477
74.6332778930664,54.28934097290039,35.98008728027344,128.62228393554688,67.0443115234375,73.40815734863281,29.001590728759766
74.88664245605469,53.81551742553711,35.06306076049805,124.33238983154297,65.73916625976562,71.65019226074219,28.423261642456055
77.49034881591797,54.981849670410156,36.81060028076172,129.45433044433594,69.86930084228516,74.13353729248047,29.66497230529785
76.51177978515625,53.94308090209961,35.72919845581055,125.35862731933594,67.94591522216797,73.94960021972656,29.171689987182617
80.16392517089844,56.0206184387207,37.502681732177734,132.6532440185547,71.24317932128906,77.51353454589844,30.95770835876465
79.16787719726562,55.127647399902344,36.845211029052734,131.29417419433594,70.04963684082031,75.8863296508789,30.158254623413086
77.60392761230469,54.95452117919922,36.66352844238281,131.31268310546875,70.58201599121094,75.8067398071289,29.784038543701172
