Date,ABBV,BMY,GSK,JNJ,MRK,NVS,PFE
2020-01-02,77.19876098632812,57.7154541015625,40.03206253051758,134.10025024414062,79.03124237060547,81.02888488769531,32.951446533203125
2020-01-03,76.46598815917969,57.20518112182617,39.65666961669922,132.54766845703125,78.35289764404297,80.89234924316406,32.7746467590332
2020-01-06,77.0694351196289,57.38742446899414,39.67373275756836,132.38232421875,78.68778991699219,81.43851470947266,32.7325553894043
2020-01-07,76.62976837158203,58.25306701660156,39.42629623413086,133.19076538085938,76.59263610839844,80.62779235839844,32.623111724853516
2020-01-08,77.17288970947266,58.18928146362305,39.5969352722168,133.17239379882812,76.07746124267578,80.62779235839844,32.884090423583984
2020-01-09,77.76773071289062,59.638084411621094,39.80170822143555,133.5674285888672,76.7472152709961,80.87527465820312,32.740970611572266
2020-01-10,76.77632904052734,59.437625885009766,39.92116165161133,133.2642364501953,76.8759994506836,80.09870147705078,33.2461051940918
2020-01-13,76.3108139038086,60.27592086791992,40.05766677856445,133.85223388671875,76.85881805419922,79.97068786621094,33.17875289916992
2020-01-14,77.06222534179688,60.5401725769043,40.13446044921875,134.6055450439453,77.2194595336914,80.5424575805664,33.734405517578125
2020-01-15,77.98835754394531,60.66773986816406,40.62078094482422,135.0556640625,78.6019287109375,80.7302017211914,34.23952865600586
2020-01-16,77.98835754394531,60.84998321533203,40.23683547973633,136.1488800048828,78.29278564453125,81.1568832397461,34.18902587890625
2020-01-17,76.8874740600586,60.795318603515625,40.85966873168945,137.04005432128906,78.11247253417969,81.86520385742188,34.104835510253906
2020-01-21,76.87873840332031,61.44226837158203,40.52692794799805,137.1319122314453,77.25381469726562,81.23369598388672,33.96170425415039
2020-01-22,76.19723510742188,61.44226837158203,40.77435302734375,136.19483947753906,76.97903442382812,81.25077056884766,33.835426330566406
2020-01-23,74.5022201538086,60.93199157714844,40.79994583129883,136.4520721435547,76.04309844970703,81.00328063964844,34.27321243286133
2020-01-24,72.99068450927734,58.462642669677734,40.296566009521484,136.2592010498047,73.82775115966797,80.10723876953125,33.523921966552734
2020-01-27,73.4100570678711,58.04348373413086,39.65666961669922,136.65420532226562,73.9307861328125,79.96215057373047,33.8101692199707
2020-01-28,73.19161987304688,59.0549201965332,39.92967987060547,137.3432159423828,74.05960083007812,81.53237915039062,32.10955047607422
2020-01-29,72.69361114501953,58.44441604614258,40.26243209838867,138.2986297607422,74.90966796875,81.70306396484375,31.63809585571289
2020-01-30,71.45292663574219,58.143714904785156,40.08325958251953,138.13327026367188,74.27424621582031,81.8566665649414,31.527536392211914
2020-01-31,70.78888702392578,57.360084533691406,39.92967987060547,136.76441955566406,73.36406707763672,80.65338897705078,31.672117233276367
2020-02-03,71.90725708007812,57.93414306640625,39.869964599609375,137.95870971679688,74.99553680419922,80.4315185546875,31.901748657226562
2020-02-04,73.70712280273438,58.581092834472656,40.20271301269531,139.27244567871094,75.8713607788086,81.1568832397461,32.054840087890625
2020-02-05,75.69048309326172,59.76565170288086,38.45364761352539,141.46810913085938,73.6989517211914,82.24069213867188,32.463069915771484
2020-02-06,76.17102813720703,61.14155578613281,37.660179138183594,141.04551696777344,73.57015991210938,82.74420166015625,32.53962326049805
2020-02-07,80.63573455810547,60.367042541503906,37.49807357788086,139.5388641357422,73.0549545288086,81.77986907958984,32.36102294921875
2020-02-10,82.78509521484375,60.96843338012695,38.061180114746094,139.5113067626953,73.55298614501953,83.1367416381836,32.156898498535156
2020-02-11,83.87724304199219,61.04133224487305,37.89907455444336,139.6307373046875,73.200927734375,83.8279800415039,32.3950309753418
2020-02-12,85.44120788574219,61.05044174194336,37.736961364746094,138.80392456054688,71.4836196899414,84.49362182617188,32.09736633300781
2020-02-13,83.309326171875,60.212154388427734,37.353031158447266,137.88525390625,70.38451385498047,83.43543243408203,31.408475875854492
2020-02-14,82.1734848022461,60.4854850769043,37.31889343261719,137.92198181152344,70.96841430664062,83.31595611572266,31.0512638092041
2020-02-18,81.7890625,60.20302200317383,37.15678405761719,137.0124969482422,70.80526733398438,82.94900512695312,30.889673233032227
2020-02-19,82.25212097167969,59.875,37.10559844970703,136.8287353515625,70.4102783203125,82.96607208251953,30.813121795654297
2020-02-20,82.33076477050781,59.382938385009766,36.992271423339844,136.30508422851562,70.83102416992188,82.17242431640625,30.489948272705078
2020-02-21,82.96857452392578,59.802101135253906,37.26910400390625,137.7382354736328,70.70222473144531,82.5735092163086,30.379375457763672
2020-02-24,81.37840270996094,58.28950881958008,36.26557159423828,134.89990234375,69.83499908447266,76.8729019165039,29.486371994018555
2020-02-25,77.91845703125,56.622013092041016,35.884925842285156,133.73495483398438,68.92478942871094,75.05519104003906,28.85700798034668
2020-02-26,77.2457046508789,56.53089141845703,36.248268127441406,132.83816528320312,68.64144897460938,74.3383560180664,29.528898239135742
2020-02-27,74.6332778930664,54.289337158203125,35.98008728027344,128.62222290039062,67.0443115234375,73.40814971923828,29.001590728759766
2020-02-28,74.88665771484375,53.815513610839844,35.06306457519531,124.3323974609375,65.7391586303711,71.65018463134766,28.423263549804688
2020-03-02,77.49034118652344,54.981849670410156,36.81059265136719,129.45433044433594,69.86933135986328,74.13353729248047,29.664974212646484
2020-03-03,76.51177215576172,53.94308090209961,35.72920227050781,125.35862731933594,67.94590759277344,73.94960021972656,29.171688079833984
2020-03-04,80.16392517089844,56.02062225341797,37.502681732177734,132.6532745361328,71.24317932128906,77.51354217529297,30.957712173461914
2020-03-05,79.16787719726562,55.127647399902344,36.84520721435547,131.2941436767578,70.04963684082031,75.8863296508789,30.158248901367188
