ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-05-13,14.069541249785782,11.98612157047535,17.83942904773217,14.069541249785782,14.069541249785782,0.8165332979721006,0.8165332979721006,0.8165332979721006,0.6237206475633703,0.6237206475633703,0.6237206475633703,0.19281265040873033,0.19281265040873033,0.19281265040873033,0.0,0.0,0.0,14.886074547757882
2004-05-14,14.069846226504557,12.052807401111686,18.074528055596716,14.069846226504557,14.069846226504557,0.8540931099887416,0.8540931099887416,0.8540931099887416,0.6442113408384833,0.6442113408384833,0.6442113408384833,0.20988176915025825,0.20988176915025825,0.20988176915025825,0.0,0.0,0.0,14.9239393364933
2004-05-17,14.070761156660883,11.961962445193684,17.946648666917,14.070761156660883,14.070761156660883,0.8636344538569924,0.8636344538569924,0.8636344538569924,0.6113980908423152,0.6113980908423152,0.6113980908423152,0.25223636301467717,0.25223636301467717,0.25223636301467717,0.0,0.0,0.0,14.934395610517875
2004-05-18,14.071066133379658,11.968933260069736,17.793619711589933,14.071066133379658,14.071066133379658,0.8708637431868892,0.8708637431868892,0.8708637431868892,0.6084948208279052,0.6084948208279052,0.6084948208279052,0.2623689223589841,0.2623689223589841,0.2623689223589841,0.0,0.0,0.0,14.941929876566547
2004-05-19,14.071371110098433,12.120896544598008,18.340209613006888,14.071371110098433,14.071371110098433,0.9004526303232926,0.9004526303232926,0.9004526303232926,0.6303748478267301,0.6303748478267301,0.6303748478267301,0.27007778249656245,0.27007778249656245,0.27007778249656245,0.0,0.0,0.0,14.971823740421724
2004-05-20,14.071676086817208,11.96124322383,17.556218132068967,14.071676086817208,14.071676086817208,0.8988895178041463,0.8988895178041463,0.8988895178041463,0.6237206475631295,0.6237206475631295,0.6237206475631295,0.27516887024101677,0.27516887024101677,0.27516887024101677,0.0,0.0,0.0,14.970565604621354
2004-05-21,14.071981063535981,11.903371447666157,17.77868976449371,14.071981063535981,14.071981063535981,0.9217089901344168,0.9217089901344168,0.9217089901344168,0.6442113408369496,0.6442113408369496,0.6442113408369496,0.27749764929746706,0.27749764929746706,0.27749764929746706,0.0,0.0,0.0,14.993690053670397
2004-05-24,14.072895993692308,11.817436218481069,17.947087785131444,14.072895993692308,14.072895993692308,0.8786645150514983,0.8786645150514983,0.8786645150514983,0.6113980908406446,0.6113980908406446,0.6113980908406446,0.26726642421085384,0.26726642421085384,0.26726642421085384,0.0,0.0,0.0,14.951560508743807
2004-05-25,14.073200970411081,11.984678252399519,18.049425609391278,14.073200970411081,14.073200970411081,0.8666722195345063,0.8666722195345063,0.8666722195345063,0.6084948208282112,0.6084948208282112,0.6084948208282112,0.2581773987062953,0.2581773987062953,0.2581773987062953,0.0,0.0,0.0,14.939873189945587
2004-05-26,14.073505947129856,11.93410138380375,17.85561114779665,14.073505947129856,14.073505947129856,0.8767898019511962,0.8767898019511962,0.8767898019511962,0.6303748478267638,0.6303748478267638,0.6303748478267638,0.2464149541244323,0.2464149541244323,0.2464149541244323,0.0,0.0,0.0,14.950295749081052
2004-05-27,14.073810923848631,12.046649145390568,18.073073871191216,14.073810923848631,14.073810923848631,0.8558759664556782,0.8558759664556782,0.8558759664556782,0.6237206475628886,0.6237206475628886,0.6237206475628886,0.2321553188927895,0.2321553188927895,0.2321553188927895,0.0,0.0,0.0,14.929686890304309
